coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,0,2,28520,2,2,11,2,397,1,1,6,1
1,2,2,28520,1,1,8,65,-1,2,2,6,0
1,0,2,57412,2,2,11,1,-1,1,1,6,0
1,2,2,57412,-1,-1,-1,69,397,-1,-1,-1,0
1,0,2,29393,2,2,11,1,-1,1,1,11,0
1,2,2,29393,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,53868,2,2,11,1,-1,1,1,8,0
1,2,2,53868,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,10547,2,2,11,3,16,1,1,11,0
1,2,2,10547,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,15225,2,2,11,3,13,1,1,8,0
1,2,2,15225,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,63465,2,2,11,2,495,1,1,6,1
1,2,2,63465,1,1,8,65,-1,2,2,6,0
1,0,2,35018,2,2,11,2,538,1,1,6,1
1,2,2,35018,1,1,8,65,-1,2,2,6,0
1,0,2,6843,2,2,11,3,12,1,1,6,0
1,2,2,6843,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,55987,2,2,11,1,-1,1,1,6,0
1,2,2,55987,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,19501,2,2,11,1,-1,1,1,11,0
1,2,2,19501,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,48789,2,2,11,1,-1,1,1,8,0
1,2,2,48789,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,4130,2,2,11,3,16,1,1,11,0
1,2,2,4130,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,41281,2,2,11,3,13,1,1,8,0
1,2,2,41281,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,64483,2,2,11,2,448,1,1,6,1
1,2,2,64483,1,1,8,65,-1,2,2,6,0
1,0,2,57545,2,2,11,3,12,1,1,6,0
1,2,2,57545,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,27803,2,2,11,2,268,1,1,6,1
1,2,2,27803,1,1,8,65,-1,2,2,6,0
1,0,2,55564,2,2,11,3,16,1,1,11,0
1,2,2,55564,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,35899,2,2,11,2,368,1,1,6,1
1,2,2,35899,1,1,8,65,-1,2,2,6,0
1,0,2,56941,2,2,11,1,-1,1,1,6,0
1,2,2,56941,-1,-1,-1,69,368,-1,-1,-1,0
1,0,2,53307,2,2,11,1,-1,1,1,11,0
1,2,2,53307,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,4956,2,2,11,1,-1,1,1,8,0
1,2,2,4956,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,12610,2,2,11,3,13,1,1,8,0
1,2,2,12610,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,62225,2,2,11,3,12,1,1,6,0
1,2,2,62225,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,53772,2,2,11,3,16,1,1,11,0
1,2,2,53772,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,11580,2,2,11,2,392,1,1,6,1
1,0,2,4677,2,2,11,3,13,1,1,8,0
1,2,2,11580,1,1,8,65,-1,2,2,6,0
1,2,2,4677,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,20980,2,2,11,2,283,1,1,6,1
1,2,2,20980,1,1,8,65,-1,2,2,6,0
